model	test_study	data_type	roc_auc	accuracy	recall	f1_score	ppv	npv
LBGM	VogtmannE_2016	subspecies	0.6797337278106509	0.6826923076923077	0.5576923076923077	0.6373626373626373	0.5576923076923077	0.8076923076923077
LBGM	VogtmannE_2016	subspecies	0.6815828402366864	0.6923076923076923	0.5769230769230769	0.6521739130434783	0.5769230769230769	0.8076923076923077
LBGM	VogtmannE_2016	subspecies	0.6863905325443787	0.6923076923076923	0.5769230769230769	0.6521739130434783	0.5769230769230769	0.8076923076923077
LBGM	VogtmannE_2016	subspecies	0.6782544378698225	0.6826923076923077	0.5576923076923077	0.6373626373626373	0.5576923076923077	0.8076923076923077
LBGM	VogtmannE_2016	subspecies	0.6915680473372781	0.6826923076923077	0.5576923076923077	0.6373626373626373	0.5576923076923077	0.8076923076923077
LBGM	VogtmannE_2016	subspecies	0.6797337278106508	0.6826923076923077	0.5576923076923077	0.6373626373626373	0.5576923076923077	0.8076923076923077
LBGM	VogtmannE_2016	subspecies	0.6826923076923077	0.6826923076923077	0.5576923076923077	0.6373626373626373	0.5576923076923077	0.8076923076923077
LBGM	VogtmannE_2016	subspecies	0.6793639053254437	0.6826923076923077	0.5576923076923077	0.6373626373626373	0.5576923076923077	0.8076923076923077
LBGM	VogtmannE_2016	subspecies	0.6823224852071005	0.6826923076923077	0.5769230769230769	0.6451612903225806	0.5769230769230769	0.7884615384615384
LBGM	VogtmannE_2016	subspecies	0.6826923076923077	0.6826923076923077	0.5576923076923077	0.6373626373626373	0.5576923076923077	0.8076923076923077
LBGM	ThomasAM_2018a	subspecies	0.7371794871794872	0.7272727272727273	1.0	0.8125	1.0	0.3333333333333333
LBGM	ThomasAM_2018a	subspecies	0.72008547008547	0.7272727272727273	1.0	0.8125	1.0	0.3333333333333333
LBGM	ThomasAM_2018a	subspecies	0.7521367521367521	0.7272727272727273	1.0	0.8125	1.0	0.3333333333333333
LBGM	ThomasAM_2018a	subspecies	0.732905982905983	0.7272727272727273	1.0	0.8125	1.0	0.3333333333333333
LBGM	ThomasAM_2018a	subspecies	0.75	0.7045454545454546	0.9615384615384616	0.7936507936507936	0.9615384615384616	0.3333333333333333
LBGM	ThomasAM_2018a	subspecies	0.7478632478632479	0.7045454545454546	0.9615384615384616	0.7936507936507936	0.9615384615384616	0.3333333333333333
LBGM	ThomasAM_2018a	subspecies	0.7393162393162394	0.7045454545454546	0.9615384615384616	0.7936507936507936	0.9615384615384616	0.3333333333333333
LBGM	ThomasAM_2018a	subspecies	0.7606837606837606	0.7045454545454546	0.9615384615384616	0.7936507936507936	0.9615384615384616	0.3333333333333333
LBGM	ThomasAM_2018a	subspecies	0.7564102564102565	0.7045454545454546	0.9615384615384616	0.7936507936507936	0.9615384615384616	0.3333333333333333
LBGM	ThomasAM_2018a	subspecies	0.7564102564102564	0.7272727272727273	1.0	0.8125	1.0	0.3333333333333333
LBGM	YuJ_2015	subspecies	0.8844662703540966	0.7936507936507936	0.863013698630137	0.8289473684210527	0.863013698630137	0.6981132075471698
LBGM	YuJ_2015	subspecies	0.86895838718015	0.8015873015873016	0.8767123287671232	0.8366013071895425	0.8767123287671232	0.6981132075471698
LBGM	YuJ_2015	subspecies	0.8865339881106229	0.7857142857142857	0.8493150684931506	0.8211920529801324	0.8493150684931506	0.6981132075471698
LBGM	YuJ_2015	subspecies	0.8922202119410702	0.7936507936507936	0.8493150684931506	0.8266666666666667	0.8493150684931506	0.7169811320754716
LBGM	YuJ_2015	subspecies	0.8751615404497286	0.7777777777777778	0.8356164383561644	0.8133333333333334	0.8356164383561644	0.6981132075471698
LBGM	YuJ_2015	subspecies	0.8808477642801757	0.7698412698412699	0.8493150684931506	0.8104575163398693	0.8493150684931506	0.660377358490566
LBGM	YuJ_2015	subspecies	0.8787800465236496	0.7936507936507936	0.8493150684931506	0.8266666666666667	0.8493150684931506	0.7169811320754716
LBGM	YuJ_2015	subspecies	0.887567846988886	0.7857142857142857	0.8356164383561644	0.8187919463087249	0.8356164383561644	0.7169811320754716
LBGM	YuJ_2015	subspecies	0.8818816231584389	0.7857142857142857	0.8356164383561644	0.8187919463087249	0.8356164383561644	0.7169811320754716
LBGM	YuJ_2015	subspecies	0.8847247350736624	0.7698412698412699	0.821917808219178	0.8053691275167785	0.821917808219178	0.6981132075471698
LBGM	FengQ_2015	subspecies	0.8777619387027797	0.7850467289719626	0.6086956521739131	0.7088607594936709	0.6086956521739131	0.9180327868852459
LBGM	FengQ_2015	subspecies	0.8791874554526016	0.7850467289719626	0.6086956521739131	0.7088607594936709	0.6086956521739131	0.9180327868852459
LBGM	FengQ_2015	subspecies	0.8667141838916608	0.794392523364486	0.6304347826086957	0.725	0.6304347826086957	0.9180327868852459
LBGM	FengQ_2015	subspecies	0.875623663578047	0.7850467289719626	0.6086956521739131	0.7088607594936709	0.6086956521739131	0.9180327868852459
LBGM	FengQ_2015	subspecies	0.8752672843905915	0.7850467289719626	0.6086956521739131	0.7088607594936709	0.6086956521739131	0.9180327868852459
LBGM	FengQ_2015	subspecies	0.8759800427655025	0.7757009345794392	0.5869565217391305	0.6923076923076923	0.5869565217391305	0.9180327868852459
LBGM	FengQ_2015	subspecies	0.8859586600142552	0.7850467289719626	0.6086956521739131	0.7088607594936709	0.6086956521739131	0.9180327868852459
LBGM	FengQ_2015	subspecies	0.8752672843905915	0.7850467289719626	0.5869565217391305	0.7012987012987013	0.5869565217391305	0.9344262295081968
LBGM	FengQ_2015	subspecies	0.875623663578047	0.7850467289719626	0.6086956521739131	0.7088607594936709	0.6086956521739131	0.9180327868852459
LBGM	FengQ_2015	subspecies	0.8859586600142552	0.794392523364486	0.6086956521739131	0.717948717948718	0.6086956521739131	0.9344262295081968
LBGM	YachidaS_2019	subspecies	0.7053798449612403	0.6437007874015748	0.7674418604651163	0.6863084922010398	0.7674418604651163	0.516
LBGM	YachidaS_2019	subspecies	0.7068527131782945	0.655511811023622	0.7829457364341085	0.697754749568221	0.7829457364341085	0.524
LBGM	YachidaS_2019	subspecies	0.7077519379844962	0.6594488188976378	0.7751937984496124	0.6980802792321117	0.7751937984496124	0.54
LBGM	YachidaS_2019	subspecies	0.7117364341085272	0.6476377952755905	0.7829457364341085	0.692967409948542	0.7829457364341085	0.508
LBGM	YachidaS_2019	subspecies	0.7048527131782946	0.6496062992125984	0.7790697674418605	0.6931034482758621	0.7790697674418605	0.516
