"species"	"study"	"effect_size"	"variance"
"0517001001"	"YachidaS_2019"	-0.0205199971698513	0.00787638343150382
"0517001001"	"ZellerG_2014"	0.0928559010298659	0.0352991838984284
"0517001001"	"FengQ_2015"	0.152163633683659	0.0382407682512653
"0517001001"	"YuJ_2015"	0.180601189758509	0.0325098505998555
"0517001001"	"VogtmannE_2016"	-0.580521507512427	0.0400817558686755
"0517001001"	"WirbelJ_2018"	0.0183610774091066	0.0624057790411382
"0517001001"	"ThomasAM_2018a"	0.0917537798765368	0.0941127617002944
"0218001001"	"YachidaS_2019"	0.0717711613516791	0.00788103897217106
"0218001001"	"ZellerG_2014"	0.362337201935554	0.0358371927999654
"0218001001"	"FengQ_2015"	0.47897631832039	0.0392046212517136
"0218001001"	"YuJ_2015"	-0.128469023431056	0.0324464155614269
"0218001001"	"VogtmannE_2016"	-0.131744006064781	0.0385449830919904
"0218001001"	"WirbelJ_2018"	-0.326870007303068	0.0630632288714511
"0218001001"	"ThomasAM_2018a"	0.329708767682287	0.0952524107385323
"0216001003"	"YachidaS_2019"	-0.0798720416237698	0.00788224807003659
"0216001003"	"ZellerG_2014"	-0.288104009057409	0.0356254194321078
"0216001003"	"FengQ_2015"	0.0929182322760404	0.0381729179076834
"0216001003"	"YuJ_2015"	-0.300559862664338	0.0327370924947477
"0216001003"	"VogtmannE_2016"	-0.337316920048339	0.0390085706949562
"0216001003"	"WirbelJ_2018"	-0.347795349563859	0.0631503745720927
"0216001003"	"ThomasAM_2018a"	0.176598588342745	0.0943714924421469
"0991001001"	"YachidaS_2019"	-0.0907927213235975	0.00788408249445805
"0991001001"	"ZellerG_2014"	0.711836639232498	0.0374837855764888
"0991001001"	"FengQ_2015"	0.149058538862538	0.0382363975811345
"0991001001"	"YuJ_2015"	0.207876737482368	0.0325515669315253
"0991001001"	"VogtmannE_2016"	0.166256267980024	0.0385944285896281
"0991001001"	"WirbelJ_2018"	-0.000459260960302482	0.0624036992988975
"0991001001"	"ThomasAM_2018a"	0.266696079262794	0.0948253530931639
"0045001003"	"YachidaS_2019"	0.0794674326845033	0.00788218461513927
"0045001003"	"ZellerG_2014"	-0.264413517397085	0.0355680097309996
"0045001003"	"FengQ_2015"	0.0177849608606735	0.0381340511176999
"0045001003"	"YuJ_2015"	0.304462810075345	0.0327463892336224
"0045001003"	"VogtmannE_2016"	-0.159466545939354	0.0385837960542011
"0045001003"	"WirbelJ_2018"	-0.413702998535734	0.0634601805339397
"0045001003"	"ThomasAM_2018a"	0.405488416136211	0.0958855128309651
"1129001002"	"YachidaS_2019"	0.226535751141045	0.00792647927428058
"1129001002"	"ZellerG_2014"	0.448743260502252	0.03614457115935
"1129001002"	"FengQ_2015"	0.250860805872357	0.0384266438237284
"1129001002"	"YuJ_2015"	0.170222327260379	0.0324955153673978
"1129001002"	"VogtmannE_2016"	0.395691891765169	0.0392142888135034
"1129001002"	"WirbelJ_2018"	0.126877151047821	0.0625030672034493
"1129001002"	"ThomasAM_2018a"	0.247510019176726	0.0947132441261038
"2519001001"	"YachidaS_2019"	0.147514474604276	0.00789738682710808
"2519001001"	"ZellerG_2014"	-0.198055953064621	0.0354334117150437
"2519001001"	"FengQ_2015"	-0.584360162245178	0.0397282590353933
"2519001001"	"YuJ_2015"	0.26643404486274	0.0326609148145001
"2519001001"	"VogtmannE_2016"	-0.028462775660416	0.0384654333153764
"2519001001"	"WirbelJ_2018"	-0.0107753881917013	0.062404414719083
"2519001001"	"ThomasAM_2018a"	-0.715461233132517	0.099833966472952
